year_j,year,shipping_quantity_world,shipping_quantity_japan,Number,grosstons_japan,grosstons_UK,grosstons_US,grosstons_liberia,gtosstons_norway,grosstons_soviet,grosstons_greek
S36,1961,1170,,1919,7954,21465,24238,10930,12025,4066,5439
S37,1962,1260,,2376,8870,21658,23273,10573,12511,4684,6537
S38,1963,1360,,3168,9977,21565,23133,11391,13699,5434,7094
S39,1964,1520,,3427,10813,21490,22430,14550,14477,6958,6888
S40,1965,1638,,3921,11971,21530,21527,17539,15641,8238,7137
S41,1966,1890,255,5074,14723,21542,20797,20603,16421,9492,7163
S42,1967,1910,310,5293,16883,22598,21719,20333,18382,10617,7433
S43,1968,2110,361,5787,19587,21921,19668,25720,19667,12062,21921
S44,1969,2310,425,6123,23987,23844,19550,29215,19679,13705,23844
S45,1970,2480,508,6847,27004,25825,18463,33297,19347,14832,10952
S46,1971,2710,539,7867,30509,27335,16266,38552,21720,16194,13066
S47,1972,2861,563,8434,34929,28625,15024,44444,23507,16734,28625
S48,1973,,,8635,36785,30160,14912,49905,23621,17397,19295
S49,1974,,,,38708,31556,14429,55322,24853,18176,21759
S50,1975,,,,39740,33157,14587,65820,26154,19236,22527
S51,1976,,,,41633,32923,14909,73477,27944,20668,25035
S52,1977,,,,40036,31646,15300,79983,27801,21438,29517
S53,1978,,,,39182,30897,16188,80191,26128,22262,33956
S54,1979,,,,39993,27951,17542,81528,22349,22900,37353
